Feature,Importance
loc,0.12634324761788618
iv(g),0.11690492351689616
v(g),0.08620110888051263
branchCount,0.0812418964824292
ev(g),0.062296995988362094
i,0.0397289326133643
uniq_Opnd,0.039599274640571794
e,0.0392320312923168
uniq_Op,0.039028844552251384
t,0.03890313987591644
d,0.03679594277351952
total_Op,0.036279862951795645
lOCode,0.036045396163930675
v,0.035613089570790436
l,0.03360603643937447
total_Opnd,0.03315839554078158
n,0.03314519557093131
lOBlank,0.0330090015130133
b,0.02586930422016332
lOComment,0.019283443058348827
locCodeAndComment,0.007713936736843772
